id,name,artist,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
20XdEFyaUR9C7aDIdq2OAd,Summertime,DJ Jazzy Jeff & The Fresh Prince,Hip-hop 90s,0.677,0.539,7,-14.439,0.063,0.0455,1.84e-06,0.845,0.469,95.116,270973,4
24vNw0Z0srb4zYXwrakw8E,Wu-Tang Clan Ain't Nuthing ta F' Wit,Wu-Tang Clan,Hip-hop 90s,0.823,0.526,1,-12.202,0.328,0.237,0.0,0.362,0.614,99.13,216040,4
3LklW07tvdx2AHsgfi1Mng,I Wish,Skee-Lo,Hip-hop 90s,0.669,0.809,7,-7.146,0.147,0.00137,0.0,0.38,0.572,97.885,249293,4
1NHwvBmrUje4L1dxfWnXCH,Put Your Hands Where My Eyes Could See (feat. Jamal),Busta Rhymes,Hip-hop 90s,0.906,0.623,1,-6.711,0.303,0.00864,4.19e-06,0.0753,0.715,99.498,194293,4
6hxn98poTu1O4YZfafvC18,What You Want (feat. Total),Mase,Hip-hop 90s,0.838,0.72,10,-6.593,0.384,0.0312,1.11e-05,0.422,0.845,93.76,242947,4
1RjU7UhRICmdFPKxCucLgq,Hell on Earth (Front Lines),Mobb Deep,Hip-hop 90s,0.875,0.658,0,-3.641,0.359,0.275,0.0,0.122,0.661,92.038,274093,4
5YTM7OgQDt9EJAYcfHLniJ,Award Tour (feat. Trugoy The Dove),A Tribe Called Quest,Hip-hop 90s,0.812,0.6,7,-9.414,0.253,0.00304,7.79e-06,0.173,0.557,97.338,226440,4
7fXhkARAtS66kxexMIAx8O,One More Chance / Stay with Me - Remix; 2007 Remaster,The Notorious B.I.G.,Hip-hop 90s,0.725,0.68,0,-6.037,0.224,0.149,0.0,0.127,0.695,90.964,268707,4
3lGBvPUgO7MJltUnBlOpe9,Mass Appeal,Gang Starr,Hip-hop 90s,0.807,0.726,10,-8.435,0.252,0.0209,0.276,0.129,0.616,96.12,221027,4
36yUCSB9OaMz0RMUQDOSpT,Let Me Ride,Dr. Dre,Hip-hop 90s,0.729,0.929,1,-3.297,0.238,0.0759,0.000846,0.303,0.884,92.675,260333,4
3Y6XWs8xMlCngyIxNOFnsp,Sound of da Police,KRS-One,Hip-hop 90s,0.794,0.95,1,-8.78,0.294,0.124,7.71e-05,0.133,0.324,94.984,258507,4
3glqlA5qY3bbo8UaUDGPnw,"Triumph (feat. Ol' Dirty Bastard, Inspectah Deck, Method Man, Cappadonna, U-God, RZA, GZA, Masta Killa, Ghostface Killah & Raekwon)",Wu-Tang Clan,Hip-hop 90s,0.739,0.639,2,-6.959,0.358,0.000918,2.74e-05,0.352,0.323,91.121,338187,4
71XhXay6rKPZCVAaDtFlSR,Lost Ones,Ms. Lauryn Hill,Hip-hop 90s,0.832,0.749,2,-6.129,0.37,0.0998,3.74e-06,0.0837,0.65,94.899,333907,4
2MAaiV0bbeq4FpSwPe2rR8,Find a Way,A Tribe Called Quest,Hip-hop 90s,0.773,0.58,8,-8.466,0.432,0.0357,0.0,0.485,0.713,94.093,203067,4
2p9sprAX27D6U5cuSE9NsM,When I B On Tha Mic,Rakim,Hip-hop 90s,0.836,0.484,2,-7.332,0.327,0.0454,0.0,0.0557,0.839,95.941,222933,4
7bp5DfkdK1OAvNJ1U4HfDA,Shadowboxin',GZA,Hip-hop 90s,0.704,0.642,1,-10.11,0.39,0.00704,1.43e-06,0.161,0.72,92.09,209973,4
26q6YTrXt9l8qshIveiTX9,Rebirth Of Slick (Cool Like Dat),Digable Planets,Hip-hop 90s,0.885,0.334,1,-18.944,0.227,0.048,0.0587,0.107,0.569,98.309,261267,4
3djNBlI7xOggg7pnsOLaNm,California Love - Original Version,2Pac,Hip-hop 90s,0.761,0.847,7,-3.068,0.0417,0.0292,2.26e-06,0.39,0.765,91.519,284480,4
5n276uEKrEFohrt42pP8Tf,Miami,Will Smith,Hip-hop 90s,0.879,0.538,1,-6.144,0.112,0.0323,8.6e-06,0.046,0.896,108.155,197560,4
47wZfF4OdME3xkIPhhpSSF,Gimme Some More,Busta Rhymes,Hip-hop 90s,0.591,0.855,11,-8.339,0.339,0.00832,5.87e-05,0.771,0.78,136.734,158467,4
2Mb3zpobD0CvJGWv6NpsPy,They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,Hip-hop 90s,0.761,0.683,2,-10.889,0.164,0.141,0.0,0.342,0.671,101.787,286693,4
6Xo9osN1HErsEJoqwj4eDg,Get Me Home,Foxy Brown,Hip-hop 90s,0.774,0.48,9,-6.598,0.23,0.109,0.000656,0.313,0.33,96.071,229400,4
